"Practice","RT","accuracy","block","cond","condition","correct","correct_keyboard_response","correct_response","experiment_path","fixation_dur","keyboard_backend","mouse_backend","overall_accuracy","response_keyboard_response","response_time_keyboard_response","running_accuracy","stim_type","stimulus","subject_nr","time_Experimental","time_Practice","time_block_start","time_end_of_block_trigger","time_end_of_experiment","time_end_of_practice_block_trigger","time_experiment","time_experimental_block","time_experimental_sequence","time_feedback","time_fixation","time_fixation_duration","time_generalpreps","time_keyboard_response","time_main_instructions","time_new_block","time_new_block_trigger","time_new_sketchpad","time_practice_block","time_practice_block_trigger","time_practice_sequence_1","time_practice_start","time_presstostart","time_response_trigger","time_stimulus","time_stimulus_trigger","time_trial_sequence","title"
"Yes","482","1","0","Random","4","1","1","m","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","504","legacy","xpyriment","0.5","m","482","NA","NA","upnoocs","6","NA","16909","NA","NA","NA","NA","2737","NA","NA","NA","20207","20204","2757","20714","2759","NA","NA","NA","20102","NA","17005","17008","18815","21196","20714","NA","20204","LexicalDecision"
"Yes","513","1","0","LF","2","1","1","n","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","410","legacy","xpyriment","0.5","n","513","NA","NA","balkjes","6","NA","16909","NA","NA","NA","NA","2737","NA","NA","NA","21379","21376","2757","21792","2759","NA","NA","NA","20102","NA","17005","17008","18815","22306","21792","NA","21376","LexicalDecision"
"Yes","640","1","0","Random","4","1","1","m","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","404","legacy","xpyriment","0.5","m","640","NA","NA","paslejs","6","NA","16909","NA","NA","NA","NA","2737","NA","NA","NA","22461","22460","2757","22868","2759","NA","NA","NA","20102","NA","17005","17008","18815","23508","22868","NA","22459","LexicalDecision"
"Yes","529","1","0","HF","1","1","1","n","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","507","legacy","xpyriment","0.5","n","529","NA","NA","kale","6","NA","16909","NA","NA","NA","NA","2737","NA","NA","NA","23664","23663","2757","24173","2759","NA","NA","NA","20102","NA","17005","17008","18815","24703","24173","NA","23662","LexicalDecision"
"Yes","685","1","0","Pseudo","3","1","1","m","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","559","legacy","xpyriment","0.5","m","685","NA","NA","schotes","6","NA","16909","NA","NA","NA","NA","2737","NA","NA","NA","24860","24859","2757","25422","2759","NA","NA","NA","20102","NA","17005","17008","18815","26108","25422","NA","24858","LexicalDecision"
"Yes","674","1","0","Pseudo","3","1","1","m","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","412","legacy","xpyriment","0.5","m","674","NA","NA","bans","6","NA","16909","NA","NA","NA","NA","2737","NA","NA","NA","26262","26260","2757","26676","2759","NA","NA","NA","20102","NA","17005","17008","18815","27351","26676","NA","26260","LexicalDecision"
"Yes","534","1","0","LF","2","1","1","n","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","576","legacy","xpyriment","0.5","n","534","NA","NA","zuchtjes","6","NA","16909","NA","NA","NA","NA","2737","NA","NA","NA","27506","27505","2757","28085","2759","NA","NA","NA","20102","NA","17005","17008","18815","28619","28084","NA","27504","LexicalDecision"
"Yes","551","1","0","HF","1","1","1","n","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","424","legacy","xpyriment","0.5","n","551","NA","NA","kreeg","6","NA","16909","NA","NA","NA","NA","2737","NA","NA","NA","28786","28784","2757","29212","2759","NA","NA","NA","20102","NA","17005","17008","18815","29764","29212","NA","28784","LexicalDecision"
"No","443","1","1","Random","4","1","1","m","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","589","legacy","xpyriment","1.0","m","443","1.0","easy","vkeojns","6","30828","16909","30934","NA","NA","NA","2737","32478","30932","NA","32580","32578","2757","33208","2759","30932","32476","NA","20102","NA","17005","17008","31708","33652","29212","NA","32578","LexicalDecision"
"No","497","1","1","LF","2","1","1","n","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","405","legacy","xpyriment","1.0","n","497","1.0","hard","mesjes","6","30828","16909","30934","NA","NA","NA","2737","32478","30932","NA","33825","33824","2757","34272","2759","30932","32476","NA","20102","NA","17005","17008","31708","34770","29212","NA","33823","LexicalDecision"
"No","527","1","1","LF","2","1","1","n","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","523","legacy","xpyriment","1.0","n","527","1.0","hard","zeemeeuw","6","30828","16909","30934","NA","NA","NA","2737","32478","30932","NA","34944","34942","2757","35513","2759","30932","32476","NA","20102","NA","17005","17008","31708","36040","29212","NA","34942","LexicalDecision"
"No","479","1","1","LF","2","1","1","n","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","573","legacy","xpyriment","1.0","n","479","1.0","hard","prinsjes","6","30828","16909","30934","NA","NA","NA","2737","32478","30932","NA","36197","36195","2757","36812","2759","30932","32476","NA","20102","NA","17005","17008","31708","37292","29212","NA","36195","LexicalDecision"
"No","570","1","1","LF","2","1","1","n","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","467","legacy","xpyriment","1.0","n","570","1.0","hard","zeefje","6","30828","16909","30934","NA","NA","NA","2737","32478","30932","NA","37450","37449","2757","37958","2759","30932","32476","NA","20102","NA","17005","17008","31708","38529","29212","NA","37448","LexicalDecision"
"No","506","0","1","LF","2","0","0","n","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","424","legacy","xpyriment","0.8333333333333334","m","506","0.8333333333333334","hard","aktes","6","30828","16909","30934","NA","NA","NA","2737","32478","30932","39699","38685","38683","2757","39153","2759","30932","32476","NA","20102","NA","17005","17008","31708","39660","29212","NA","38683","LexicalDecision"
"No","483","1","1","LF","2","1","1","n","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","466","legacy","xpyriment","0.8571428571428571","n","483","0.8571428571428571","hard","mossels","6","30828","16909","30934","NA","NA","NA","2737","32478","30932","39699","41864","41862","2757","42373","2759","30932","32476","NA","20102","NA","17005","17008","31708","42857","29212","NA","41862","LexicalDecision"
"No","628","1","1","Pseudo","3","1","1","m","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","580","legacy","xpyriment","0.875","m","628","0.875","hard","treen","6","30828","16909","30934","NA","NA","NA","2737","32478","30932","39699","43014","43012","2757","43638","2759","30932","32476","NA","20102","NA","17005","17008","31708","44267","29212","NA","43012","LexicalDecision"
"No","738","1","1","Pseudo","3","1","1","m","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","466","legacy","xpyriment","0.8888888888888888","m","738","0.8888888888888888","hard","kemen","6","30828","16909","30934","NA","NA","NA","2737","32478","30932","39699","44425","44423","2757","44932","2759","30932","32476","NA","20102","NA","17005","17008","31708","45671","29212","NA","44423","LexicalDecision"
"No","1013","1","1","Pseudo","3","1","1","m","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","595","legacy","xpyriment","0.9","m","1013","0.9","hard","tonaar","6","30828","16909","30934","NA","NA","NA","2737","32478","30932","39699","45830","45829","2757","46468","2759","30932","32476","NA","20102","NA","17005","17008","31708","47482","29212","NA","45828","LexicalDecision"
"No","592","1","1","LF","2","1","1","n","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","414","legacy","xpyriment","0.9090909090909091","n","592","0.9090909090909091","hard","printers","6","30828","16909","30934","NA","NA","NA","2737","32478","30932","39699","47640","47638","2757","48097","2759","30932","32476","NA","20102","NA","17005","17008","31708","48690","29212","NA","47638","LexicalDecision"
"No","1041","1","1","Pseudo","3","1","1","m","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","591","legacy","xpyriment","0.9166666666666666","m","1041","0.9166666666666666","hard","strag","6","30828","16909","30934","NA","NA","NA","2737","32478","30932","39699","48848","48846","2757","49485","2759","30932","32476","NA","20102","NA","17005","17008","31708","50527","29212","NA","48846","LexicalDecision"
"No","828","1","1","LF","2","1","1","n","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","542","legacy","xpyriment","0.9230769230769231","n","828","0.9230769230769231","hard","fraudes","6","30828","16909","30934","NA","NA","NA","2737","32478","30932","39699","50684","50682","2757","51272","2759","30932","32476","NA","20102","NA","17005","17008","31708","52101","29212","NA","50682","LexicalDecision"
"No","659","1","1","LF","2","1","1","n","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","555","legacy","xpyriment","0.9285714285714286","n","659","0.9285714285714286","hard","flora's","6","30828","16909","30934","NA","NA","NA","2737","32478","30932","39699","52259","52257","2757","52860","2759","30932","32476","NA","20102","NA","17005","17008","31708","53520","29212","NA","52256","LexicalDecision"
"No","835","1","1","Pseudo","3","1","1","m","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","590","legacy","xpyriment","0.9333333333333333","m","835","0.9333333333333333","hard","heutel","6","30828","16909","30934","NA","NA","NA","2737","32478","30932","39699","53684","53682","2757","54320","2759","30932","32476","NA","20102","NA","17005","17008","31708","55156","29212","NA","53682","LexicalDecision"
"No","739","1","1","LF","2","1","1","n","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","510","legacy","xpyriment","0.9375","n","739","0.9375","hard","buffers","6","30828","16909","30934","NA","NA","NA","2737","32478","30932","39699","55312","55310","2757","55864","2759","30932","32476","NA","20102","NA","17005","17008","31708","56603","29212","NA","55310","LexicalDecision"
"No","591","1","1","HF","1","1","1","n","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","595","legacy","xpyriment","0.9411764705882353","n","591","0.9411764705882353","easy","hoger","6","30828","16909","30934","NA","NA","NA","2737","32478","30932","39699","56762","56760","2757","57404","2759","30932","32476","NA","20102","NA","17005","17008","31708","57996","29212","NA","56759","LexicalDecision"
"No","1277","0","1","Pseudo","3","0","0","m","/Users/patrick/Documents/CCS/Methods for CCS/Methods_in_CCS","518","legacy","xpyriment","0.8888888888888888","n","1277","0.8888888888888888","hard","bezoofd","6","30828","16909","30934","NA","NA","NA","2737","32478","30932","60038","58155","58154","2757","58721","2759","30932","32476","NA","20102","NA","17005","17008","31708","60000","29212","NA","58153","LexicalDecision"
